subject,session,window_start_sec,window_end_sec,t_sec,ear,pitch,yaw,p_v,p_p,kss,y_binary
P,D,480.0,540.0,510.0,0.2858996923001335,-10.238219354905715,-52.688765383445386,0.47,0.29,8.0,1
P,D,510.0,570.0,540.0,0.2793332524574302,-12.064339310184314,-49.50927100712179,0.24,0.35333333333333333,8.0,1
P,D,540.0,600.0,570.0,0.28920174799354725,-3.5930643246959,-10.255276153955606,0.64,0.25666666666666665,8.0,1
Q,A,0.0,60.0,30.0,0.27032663303537424,-10.197439312978295,68.11185313307679,0.12,0.5266666666666666,1.0,0
Q,A,60.0,120.0,90.0,0.25980528819664206,-12.419335673777136,68.3480854045758,0.54,0.43333333333333335,1.0,0
Q,A,180.0,240.0,210.0,0.2690093713032301,-10.028427593344942,68.01365415034817,0.28,0.35333333333333333,2.0,0
Q,A,210.0,270.0,240.0,0.26724577486831913,-10.976360775734085,66.04822327848983,0.73,0.4866666666666667,3.0,0
Q,A,270.0,330.0,300.0,0.2574666247068409,-10.188421312116274,65.87900364329548,0.84,0.39666666666666667,3.0,0
Q,A,300.0,360.0,330.0,0.25270424141427056,-10.719371612416676,66.11467560056484,0.76,0.49333333333333335,3.0,0
Q,A,330.0,390.0,360.0,0.254483175678693,-11.703991096127073,62.789328923058335,0.44,0.5133333333333333,3.0,0
Q,A,360.0,420.0,390.0,0.25629770228468424,-11.455814358222005,60.27471000265057,0.6,0.5033333333333333,3.0,0
Q,A,390.0,450.0,420.0,0.25872948239337784,-11.44123975016534,65.83149088317917,0.91,0.48333333333333334,3.0,0
Q,A,420.0,480.0,450.0,0.2600908122919206,-10.145368905189981,67.81423857938276,0.41,0.4666666666666667,3.0,0
Q,A,450.0,510.0,480.0,0.26110224565447404,-10.348794585814236,68.12113023702962,0.52,0.48,3.0,0
Q,A,480.0,540.0,510.0,0.25796130623488633,-11.159192995603721,67.23055897002376,0.63,0.43,3.0,0
